[2026-03-04T11:02:30.373Z] {"timestamp":1772622149793,"kind":"scroll","url":"http://localhost:3001/","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1.3333333730697632,"documentHeight":3712,"viewportHeight":588}}
[2026-03-04T11:02:38.382Z] {"timestamp":1772622157929,"kind":"focusin","url":"http://localhost:3001/","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:37","href":"/testimonials","text":"Reviews","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:37\"]"}}}
[2026-03-04T11:02:38.382Z] {"timestamp":1772622158035,"kind":"click","url":"http://localhost:3001/","viewport":{"width":1272,"height":588},"payload":{"target":{"tag":"a","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\Navbar.tsx:38","href":null,"text":"Reviews","selectorHint":"[data-loc=\"client\\src\\components\\Navbar.tsx:38\"]"},"x":902,"y":34}}
[2026-03-04T11:02:38.382Z] {"timestamp":1772622158037,"kind":"navigate","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"reason":"pushState"}}
[2026-03-04T11:02:40.375Z] {"timestamp":1772622159662,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":2,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:42.376Z] {"timestamp":1772622160435,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":201.3333282470703,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:42.376Z] {"timestamp":1772622161178,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":502,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:42.376Z] {"timestamp":1772622161918,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":801.3333129882812,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:44.374Z] {"timestamp":1772622162528,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1101.3333740234375,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:44.374Z] {"timestamp":1772622163334,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1501.3333740234375,"documentHeight":2459,"viewportHeight":588}}
[2026-03-04T11:02:44.374Z] {"timestamp":1772622163834,"kind":"scroll","url":"http://localhost:3001/testimonials","viewport":{"width":1272,"height":588},"payload":{"scrollX":0,"scrollY":1542,"documentHeight":2459,"viewportHeight":588}}
